ISBN,EDITORIAL,TITULO,AUTOR/COLABORADOR,FORMATO,SEMESTRE,AÑO
978-9945-618-17-4,AMIGO DEL HOGAR ,EL VUELO DE LAS MARIPOSAS,"ALBERTI LEON, HERMINIO (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9251-3-5,FUNDACION FRIEDRICH EBERT ,CORONAVIRUS Y DESIGUALDADES PREEXISTENTES,"WOODING, BRIDGET (AUTOR); BELIQUE, ANA MARIA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9251-4-2,FUNDACION FRIEDRICH EBERT ,CORONAVIRUS Y DESIGUALDADES PREEXISTENTES,"BATTHYANY, KARINA (AUTOR); CEPEDA, ZOBEYDA (AUTOR); ESPINEL VALLEJO, MANUEL (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9173-8-3,EDITORIAL OPUS ,ALIMENTACION CONSCIENTE Y SALUDABLE,"RO, SARI (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-554-8,"MENA GARCIA, LUIS RAFAEL ",LUIS MENA EN LA PISTA,"MENA GARCIA, LUIS (AUTOR)",DIGITAL,JULIO-DICIEMBRE,2020
978-9945-8720-8-8,ACADEMIA DOMINICANA DE LA LENGUA ,PEREGRINAJE METAFISICO,"GUERRERO, KEVIN J. (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-556-2,"MATOS RODRIGUEZ, TULIO ANTONIO DE JESUS ",LAS CONSENTIDORAS,"MATOS RODRIGUEZ, TULIO ANTONIO-REPUBLICA DOMINICANA (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-580-97-6,UNIVERSIDAD ABIERTA PARA ADULTOS ,FUNDAMENTOS DE CONTABILIDAD III ,"TEJADA BETANCOURT, LENNY G. (EDITOR LITERARIO); GONZALEZ POLANCO, FREDDY (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9230-9-4,INSTITUTO TECNOLOGICO DE SANTO DOMINGO,REGLAMENTO DE ADMISIONES ,INSTITUTO TECNOLOGICO DE SANTO DOMINGO (INTEC) (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-582-92-5,BANCO CENTRAL DE LA REPUBLICA DOMINICANA ,ESTAS HISTORIAS,"GARCIA, JOSE ENRIQUE (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9262-0-0,INSTITUTO TECNOLOGICO DE SANTO DOMINGO ,REGLAMENTO ACADEMICO DE GRADO ,INSTITUTO TECNOLOGICO DE SANTO DOMINGO (INTEC) (AUTOR),IMPRESO,JULIO-DICIEMBRE,2020
978-9945-9201-2-3,MINISTERIO DE EDUCACION SUPERIOR CIENCIA Y TECNOLOGIA (MESCYT),PEDRO HENRIQUEZ UREÑA. HUMANIDADES CRITICAS Y DEMOCRACIA DEL PENSAMIENTO,"PEREZ, ODALIS G. (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
978-9945-09-557-9,"HELVE, GARDY",MI INTIMIDAD ,"GOMEZ, LUISFREDDYS (AUTOR)",IMPRESO,JULIO-DICIEMBRE,2020
