ISBN,EDITORIAL,TITULO,AUTOR/COLABORADOR,FORMATO,SEMESTRE,AÑO
978-9945-614-36-7,EDITORIAL SANTUARIO,POETICA DE LA LECTURA,"JIMENEZ, RANDOLFO ARIOSTTO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-505-02-3,"EDITORA CENTENARIO, S. A.",JURISPRUDENCIA DE LA CORTE DE TRABAJO DE SAN FRANCISCO DE MACORIS,"FRETT MEJIA, RAFAEL (AUTOR) / CACERES CABRAL, ELIAS (AUTOR) / CASTILLO PLATA, JULIO (AUTOR) / DUARTE DUARTE, IRIS C. (AUTOR) / ESPINAL MARTINEZ, LUIS F. (AUTOR) / PAULINO PAULINO, JUAN JEREMIAS (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0464-5,"SABARIS, ARLENE",CAPRICHO DE UN FANTASMA,"SABARIS, ARLENE (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9136-3-7,EDITORA ORTEGA,LOS OJOS GRISES DEL HORCADO,"AÑEZ BERGES, RAFAEL (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8864-2-9,"DIL, S.R.L.",EL ARTE DE LA GUERRA,"TZU, SUN (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-16-956-0,"EDITORA BUHO, S.R.L.",UNA VIDA PROFESIONAL APEGADA A LA ETICA,"DE LEON, NEXCY (AUTOR) / FABIAN, MATILDE (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-611-30-4,ACTUALIDAD ESCOLAR 2000,ENGLISH 1 INITIAL EDUCATION,"VIVIECA, ANDRY (AUTOR) / PAREDES, EVARISTO DE JESUS (AUTOR) / CASTILLO, MAYERLIN (AUTOR) / SANDOVAL, RAMON LUCIA (ILUSTRADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-611-31-1,ACTUALIDAD ESCOLAR 2000,ENGLISH 2 INITIAL EDUCATION,"PAREDES, EVARISTO DE JESUS (AUTOR) / VIVIECA, ANDRY (AUTOR) / CASTILLO, MAYERLIN (DISEÑADOR) / SANDOVAL, RAMON LUCIA (ILUSTRADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-611-32-8,ACTUALIDAD ESCOLAR 2000,ENGLISH 3 INITIAL EDUCATION,"PAREDES, EVARISTO DE JESUS (AUTOR) / VIVIECA, ANDRY (AUTOR) / CASTILLO, MAYERLIN (DISEÑADOR) / SANDOVAL, RAMON LUCIA (ILUSTRADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-503-54-8,EDITORA NACIONAL,BANI O ENGRACIA Y ANTOÑITA,"BILLINI, FRANCISCO GREGORIO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-611-33-5,ACTUALIDAD ESCOLAR 2000,CALIGRAFIA POPULAR SCRIPT 1,"EQUIPO DIDACTICO ACTUALIDAD ESCOLAR (AUTOR) / DURAN RAMIREZ, MARIA YSABEL (DISEÑADOR) / SANDOVAL, RAMON LUCIA (ILUSTRADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-611-34-2,ACTUALIDAD ESCOLAR 2000,CALIGRAFIA POPULAR SCRIPT 2,"EQUIPO DIDACTICO ACTUALIDAD ESCOLAR (AUTOR) / DURAN RAMIREZ, MARIA YSABEL (DISEÑADOR) / SANDOVAL, RAMON LUCIA (ILUSTRADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-503-55-5,EDITORA NACIONAL,RUECA Y OTROS CUENTOS PREMIADOS,"MARRERO, JESUS (AUTOR) / PAULINO, ELBYS MANUEL (AUTOR) / VELOZ, YIRBETT JOSEP (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0466-9,"UBRI SOSA, ALIPIO","PANTOJA, PALMAREJO-VILLA LINDA, LA ISABELA Y LA HONDONADA","UBRI, ALIPIO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9149-6-2,EDITORA POETAS DE LA ERA,SUDOR DE ROCIO,"RIVAS, JOSE MANUEL (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9141-5-3,PARTICIPACION CIUDADANA,MONITOREO Y EVALUACION DE LAS ESTRATEGIAS NACIONALES PARA EL CAMBIO CLIMATICO DE LA REPUBLICA DOMINICANA,"AUTORCORNELIO HERNANDEZ, YENI (COORDINADOR EDITORIAL) / HERNANDEZ, CRISTIAN (ILUSTRADOR) / EDITORA BUHO, C. POR A. (DISEÑADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9151-6-7,BIEN-ETRE MEDIA,EMIGRAR Y EMPRENDER,"LEDESMA, CAROLINA (AUTOR) / GONZALEZ BAEZ, KEILA (COORDINADOR EDITORIAL)",DIGITAL,ENERO-JUNIO,2019
978-9945-8-0468-3,"RAMIREZ VARELA, PEDRO SERGIO",MARKETING APLICADO EN LA EDUCACION,"AUTORRAMIREZ VARELA, PEDRO SERGIO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0469-0,"RAMIREZ VARELA, PEDRO SERGIO",MEDIO LOCO,"MANUEL ANTONIO CORDONES JHONSON, REPUBLICA DOMINICANA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9181-1-3,ULTIMOS MONSTRUOS EDITORES,INTI HUAMAN,"CASTILLO, EFRAIM (AUTOR) / BAEZ, RODOLFO (EDITOR LITERARIO)",IMPRESO,ENERO-JUNIO,2019
978-9945-9145-4-2,EDITORIAL GENTE,CUERPO DE LUZ,"AUTORRODRIGUEZ, ELIAS (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-580-71-6,UNIVERSIDAD ABIERTA PARA ADULTOS,SUCESIONES Y LIBERALIDADES,"TEJADA BETANCOURT, LENNY G. (EDITOR LITERARIO) / HERNANDEZ, PEDRO PABLO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0470-6,"CRUZ SANCHEZ, FILIBERTO",EXPLORACIONES Y CONQUISTA DE AMERICA,"CRUZ SANCHEZ, FILIBERTO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0471-3,"GERMAN, JUAN DE LA CRUZ",NUESTRAS IDENTIDADES PATRIAS,"GERMAN, JUAN (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-614-37-4,EDITORIAL SANTUARIO,FLAGELOS LUMINOSOS,"ULLOA, REMY (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0472-0,"GERMAN, JUAN DE LA CRUZ",MI MUSA PERDIDA,"GERMAN, JUAN (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0474-4,"GOMEZ ABREU, JUAN PABLO",PERFILES CRIMINALES,"GOMEZ ABREU, JUAN PABLO ( ROGERS) (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9151-7-4,BIEN-ETRE MEDIA,EL PROYECTO SOY YO,"SANCHEZ FERRER, MARIA ISABEL (AUTOR) / GONZALEZ BAEZ, KEILA (PROLOGUISTA)",DIGITAL,ENERO-JUNIO,2019
978-9945-616-00-2,FUNDACION GLOBAL DEMOCRACIA Y DESARROLLO,SITUACION DE LAS PARTURIENTAS EXTRANJERAS EN EL SISTEMA DE SALUD PUBLICA DE REPUBLICA DOMINICANA 2010-2018,"MORALES NOLASCO, MARIA TERESA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0476-8,"SANTANA, AMADO",UNA VEZ... DOS VIDAS,"VEGA DE PURCELL, LISETTE (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9169-1-1,ULTIMOS MONSTRUOS EDITORES,CUANDO MUERAN LOS HOMBRES,"BAEZ, RODOLFO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0475-1,"CABREJA, GERMAN",LAS LEYES Y EL 5%,"CABREJA CEPEDA, GERMAN ANT. (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-613-23-0,ARCHIVO GENERAL DE LA NACION,BATEY,"DONASTORG, TARQUINO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-614-38-1,EDITORIAL SANTUARIO,POESIA REUNIDA,"DOTEL MATOS, HECTOR (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-503-56-2,EDITORA NACIONAL,OVER,"MARRERO ARISTY, RAMON (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-503-57-9,EDITORA NACIONAL,SUMMA,"MARTINEZ, JAN (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9151-8-1,BIEN-ETRE MEDIA,METAMORFOSIS,"NUÑEZ, RAYNELDA (AUTOR) / GONZALEZ BAEZ, KEILA (PROLOGUISTA) / AQUINO, ESTEBAN (DISEÑADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9173-1-4,EDITORIAL OPUS,PAUTAS EFECTIVAS PARA LA REDUCCION DEL RIESGO GERENCIAL Y ALCANZAR EL EXITO,"MIGUELINA, GRULLON (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9173-2-1,EDITORIAL OPUS,GUIA CLINICA DE LAS ENFERMEDADES PEDIATRICAS PREVALENTES EN REPUBLICA DOMINICANA,"ALFRE, CRUZ (COMPILADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-501-52-0,EDITORA UNIVERSITARIA UASD,UNA VEZ UN NIÑO MARAVILLA,"NUÑEZ HERNANDEZ, RAMON -REPUBLICA DOMINICANA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-585-52-0,PODER JUDICIAL,"ANALISIS DE SENTENCIAS JUDICIALES POR MUERTE DE MUJERES VINCULADAS A RELACIONES INTIMAS, FAMILIARES Y/O POR VIOLENCIA CONTRA LA MUJER","JUDICIAL, PODER JUDICIAL (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-16-957-7,"EDITORA BUHO, S.R.L.",¿QUE NIEGAN LOS ATEOS?,"GARCIA, DIOGENES (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-16-958-4,"EDITORA BUHO, S.R.L.",POESIAS CON ALA FILOSOFICA,"GARCIA, DIOGENES (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-585-53-7,PODER JUDICIAL,ANALISIS DE SENTENCIAS JUDICIALES SOBRE VIOLACIONES SEXUALES E INCESTO EN LA REPUBLICA DOMINICANA,"JUDICIAL, PODER (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-614-39-8,EDITORIAL SANTUARIO,"NOSOTRAS, LAS DE ENTONCES","CORDERO, MARGARITA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0477-5,"RODRIGUEZ DE MILTON, AURA",CAYENDOME A PEDAZOS,"RODRIGUEZ DE MILTON, AURA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-611-35-9,ACTUALIDAD ESCOLAR 2000,MATEMATICA 0,"DE LA ROSA, MARIA DEL JESUS (AUTOR) / DE LA ROSA, DOLORES (AUTOR) / MINAYA, MARIELA (DISEÑADOR) / FLORES, OSVALDO (ILUSTRADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9151-9-8,BIEN-ETRE MEDIA,LIDERAZGO EN EL AULA,"JAMES, NICOL (AUTOR) / AQUINO, ESTEBAN (DISEÑADOR) / GONZALEZ BAEZ, KEILA (COORDINADOR EDITORIAL)",IMPRESO,ENERO-JUNIO,2019
978-9945-9167-2-0,EDITORIAL EXCELSIOR SRL,LA OTRA MAÑOSA,"PANIAGUA, CHRISTIAN (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-611-36-6,ACTUALIDAD ESCOLAR 2000,ENGLISH 1 INITIAL EDUCATION,"VIVIECA, ANDRY (AUTOR) / PAREDES, EVARISTO DE JESUS (AUTOR) / CASTILLO, MAYERLIN (DISEÑADOR) / SANDOVAL, RAMON LUCIA (ILUSTRADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-611-37-3,ACTUALIDAD ESCOLAR 2000,ENGLISH 2 INITIAL EDUCATION,"VIVIECA, ANDRY (AUTOR) / PAREDES, EVARISTO DE JESUS (AUTOR) / CASTILLO, MAYERLIN (DISEÑADOR) / SANDOVAL, RAMON LUCIA (ILUSTRADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-611-38-0,ACTUALIDAD ESCOLAR 2000,ENGLISH 3 INITIAL EDUCATION,"VIVIECA, ANDRY (AUTOR) / PAREDES, EVARISTO DE JESUS (AUTOR) / CASTILLO, MAYERLIN (DISEÑADOR) / SANDOVAL, RAMON LUCIA (ILUSTRADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9097-6-0,CENTRO CULTURAL EDUARDO LEON JIMENES,27 CONCURSO DE ARTE EDUARDO LEON JIMENES,"LEON DE JORGE, MARIA AMALIA (PROLOGUISTA) / MARQUEZ, ALEXIS BRUNILDA (COMPILADOR) / ALVAREZ MARTINEZ, GENESIS - REPUBLICA DOMINICANA (COMPILADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-608-35-9,EDITORIAL ISLA NEGRA,CONSERVACION MEDIANTE DOCUMENTACION,"IRENE M., ESTEVES AMADOR (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-484-29-8,FUNDACION LITERARIA ANIBAL MONTAÑO,EL LIBRO DE LOS TRASTORNOS,"RAMOS, BLADIMIR (AUTOR)",DIGITAL,ENERO-JUNIO,2019
978-9945-16-959-1,"EDITORA BUHO, S.R.L.",DIDACTICA DE LA LECTURA Y LA ESCRITURA,"TORIBIO, YOSIRIS (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9176-1-1,"PEREZ THIPASHEMA, SRL",PINCELADAS ANECDOTICAS,"GOMEZ RAMIREZ, JOSE MIGUEL (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0481-2,"LOPEZ VALERIO, ARTURO YVAN",#EMPRENDE,"LOPEZ VALERIO, ARTURO YVAN (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0478-2,"TEJADA, LEONOR",APUNTES DE FE,"ASILIS, LEONOR (AUTOR)",DIGITAL,ENERO-JUNIO,2019
978-9945-8-0479-9,"SANTANA, AMADO",THE GREEN MARCH MOVEMENT,"RODRIGUEZ, JUAN (AUTOR) / RODRIGUEZ, JUAN (TRADUCTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-501-53-7,EDITORA UNIVERSITARIA UASD,RELIGIOSIDAD POPULAR Y PSIQUIATRIA,"TEJEDA ORTIZ, DAGOBERTO (AUTOR) / SANCHEZ MARTINEZ, FERNANDO (AUTOR) / MELLA MEJIA, CESAR (AUTOR) / SANCHEZ PEREZ, DENISSE (DISEÑADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-614-40-4,EDITORIAL SANTUARIO,LA RUEDA DE GUGA,"SALAS, ROSA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-796-1,EDICIONES SM,HAPPY CHARMS 1. FULL PACK,"FASH, SARAH (AUTOR) / GRIJALVA, STEVEN (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-797-8,EDICIONES SM,HAPPY CHARMS 2. FULL PACK,"FASH, SARAH (AUTOR) / GRIJALVA, STEVEN (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-798-5,EDICIONES SM,HAPPY CHARMS 3. FULL PACK,"FASH, SARAH (AUTOR) / GRIJALVA, STEVEN (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-799-2,EDICIONES SM,GO-GETTERS 1. FULL PACK,"SALAS, JESSIE-BELLE (AUTOR) / LLANAS, ANGELA (AUTOR) / WILLIAMS, LIBBY (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-800-5,EDICIONES SM,GO-GETTERS 2. FULL PACK,"SALAS, JESSIE-BELLE (AUTOR) / LLANAS, ANGELA (AUTOR) / WILLIAMS, LIBBY (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-801-2,EDICIONES SM,GO-GETTERS 3. FULL PACK,"LLANAS, ANGELA (AUTOR) / WILLIAMS, LIBBY (AUTOR) / LEWIS, SARA JANE (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-802-9,EDICIONES SM,GO-GETTERS 4. FULL PACK,"EDGAR, JEREMY (AUTOR) / LLANAS, ANGELA (AUTOR) / WILLIAMS, LIBBY (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-803-6,EDICIONES SM,GO-GETTERS 5. FULL PACK,"EDGAR, JEREMY (AUTOR) / LLANAS, ANGELA (AUTOR) / WILLIAMS, LIBBY (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-804-3,EDICIONES SM,GO-GETTERS 6. FULL PACK,"CUPIT, SIMON (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9140-2-3,"INSTITUTO DE ESTUDIOS SUPERIORES EN HUMANIDADES, CIENCIAS SOCIALES Y FILOSOFIA PEDRO FRANCISCO BONO",BREVE HISTORIA DEL CARIBE JESUITA,"SAEZ, JOSE LUIS, S.J. (EDITOR LITERARIO)",IMPRESO,ENERO-JUNIO,2019
978-9945-16-960-7,"EDITORA BUHO, S.R.L.",APOLINAR PERDOMO. OTROS ESCRITOS,"MATEO VASQUEZ, EDDY (COMPILADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-616-01-9,FUNDACION GLOBAL DEMOCRACIA Y DESARROLLO,CAMBIO SOCIAL Y POSTMODERNIDAD: UNA REFLEXION DESDE LA ISLA,"DEL ROSARIO, JERSON (AUTOR)",DIGITAL,ENERO-JUNIO,2019
978-9945-9171-4-7,EDITORA SOCIEDARTE,SOME THEORETICAL ASPECTS OF THE ENGLISH GRAMMAR,"LENE GOMEZ, MIGUEL (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9169-2-8,ULTIMOS MONSTRUOS EDITORES,"CORTITOS, CORTOS Y NO TAN CORTOS","HERRERA, NIURCA (AUTOR) / BAEZ, RODOLFO (COORDINADOR EDITORIAL)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0482-9,"GUERRERO KRANTZ, MARIO EMILIO",POEMAS EN EL TIEMPO,"GUERRERO KRANTZ, MARIO EMILIO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-616-02-6,FUNDACION GLOBAL DEMOCRACIA Y DESARROLLO,SUSURROS AL ATARDECER SOBRE EL RIO HIGUAMO Y OTROS CUENTOS,"DE FRIAS, VICTOR (AUTOR) / ESTRELLA SANCHEZ, VICTOR ARCTURUS (AUTOR) / VILLAMAN, ELIZABETH (AUTOR) / CASTRO, CARLOS (AUTOR) / NIN, LEONARDO - REPUBLICA DOMINICANA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-9183-0-4,BIEN-ETRE MEDIA,EL ARTE DE ATREVERSE EN LA VIDA Y LOS NEGOCIOS,"MARTINEZ, DEYANIRA (AUTOR) / GONZALEZ BAEZ, KEILA (COORDINADOR EDITORIAL)",DIGITAL,ENERO-JUNIO,2019
978-9945-582-79-6,BANCO CENTRAL DE LA REPUBLICA DOMINICANA,PASION POR EL CUENTO,"HACHE, ANGELA (EDITOR LITERARIO)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0480-5,"CABRAL ARZENO, LUCIA AMELIA",ZUMECA,"CABRAL, LUCIA AMELIA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-494-51-8,VICEPRESIDENCIA DE LA REPUBLICA DOMINICANA,LOS CUENTOS DEL HADA DE LA LUNA,"CASTERA VILA, JOSE A. (AUTOR) / SIRI, MARTHA (DISEÑADOR) / HERAZO, MILENA (COORDINADOR EDITORIAL)",IMPRESO,ENERO-JUNIO,2019
978-9945-494-52-5,VICEPRESIDENCIA DE LA REPUBLICA DOMINICANA,AMAPOLA ES UN CUENTO (TEATRO),"UBIÑAS PEREZ, ZAIDA KARINA (AUTOR) / AVILES NUÑEZ, ANA (DISEÑADOR) / HERAZO, MILENA (COORDINADOR EDITORIAL)",IMPRESO,ENERO-JUNIO,2019
978-9945-613-24-7,ARCHIVO GENERAL DE LA NACION,JOSE ALMOINA Y SUS ARTICULOS PUBLICADOS DURANTE SU EXILIO EN REPUBLICA DOMINICANA,"COMPILADOR: CASSA BERNALDO DE QUIROS, CONSTANCIO (REPUBLICA DOMINICANA)",IMPRESO,ENERO-JUNIO,2019
978-9945-614-41-1,EDITORIAL SANTUARIO,PASION POR LA LECTURA,"FERNANDEZ, PAPO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-615-02-9,ASOCIACION FE Y ALEGRIA DOMINICANA,MANUAL DE ACOMPAÑAMIENTO,"ASOCIACION FE Y ALEGRIA DOMINICANA, ASOCIACION FE Y ALEGRIA DOMINICANA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0483-6,"LOCKWARD MELLA, ANGEL GILBERTO","ESTADO, CONSTITUCION Y DEMOCRACIA","LOCKWARD, ANGEL (PROLOGUISTA) / DIAZ REVORIO, FRANCISCO JAVIER (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-466-40-9,FUNDACION EDUCARTE,HAY UN PAIS EN EL MUNDO,"MIR, PEDRO (AUTOR) / CASTRO BURDIEZ, TOMAS (EDITOR LITERARIO)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0484-3,"RIVERA CESPEDES, JULISSA ANANIAS","MICHES, PONLE ESPERANZA / MICHES, HER NAME IS HOPE","RIVERA, JULISSA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-616-03-3,FUNDACION GLOBAL DEMOCRACIA Y DESARROLLO,HECHAS Y SOSPECHAS,"ZAPATA, CESAR AUGUSTO (AUTOR)",DIGITAL,ENERO-JUNIO,2019
978-9945-16-961-4,"EDITORA BUHO, S.R.L.",CUENTOS DEL ABUELO,"FERNANDEZ DE LA LLERA, MARIO ANTONIO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0485-0,"CONTRERAS SEVERINO, CRISTIAN MARIVELL",EL CORAZON HOTEL,"BALDERA RODRIGUEZ, ANTONIO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0486-7,"CONTRERAS SEVERINO, CRISTIAN MARIVELL",LLANTO A LA LUNA,"PEREZ BERROA, ANDRES (AUTOR) / CONTRERAS, MARIVELL (EDITOR LITERARIO)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0508-6,"TORRES ULLOA, JOSE ALFONSO",DOLOR ADENTRO,"TORRES ULLOA, ALFONSO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-805-0,EDICIONES SM,CIENCIAS DE LA NATURALEZA 1. PRIMARIA. SET,"PINEDA, DENISE (EDITOR LITERARIO) / ROGERO, ANNA (DIRECTOR) / PAULINO, MELVYN (DISEÑADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-806-7,EDICIONES SM,CIENCIAS DE LA NATURALEZA 2. PRIMARIA. SET,"PINEDA, DENISE (EDITOR LITERARIO) / ROGERO, ANNA (DIRECTOR) / PAULINO, MELVYN (DISEÑADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-807-4,EDICIONES SM,CIENCIAS DE LA NATURALEZA 3. PRIMARIA. SET,"FRANCISCO ALCANTARA, EMMANUEL (EDITOR LITERARIO) / ROGERO, ANNA (DIRECTOR) / PAULINO, MELVYN (DISEÑADOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-808-1,EDICIONES SM,CIENCIAS DE LA NATURALEZA 4. PRIMARIA. SET,"RUIZ, SEILY (DISEÑADOR) / PINEDA, DENISE (EDITOR LITERARIO) / ROGERO, ANNA (DIRECTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-809-8,EDICIONES SM,CIENCIAS DE LA NATURALEZA 5. PRIMARIA. SET,"PAULINO, MELVYN (DISEÑADOR) / FRANCISCO ALCANTARA, EMMANUEL (EDITOR LITERARIO) / ROGERO, ANNA (DIRECTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-17-810-4,EDICIONES SM,CIENCIAS DE LA NATURALEZA 6. PRIMARIA. SET,"RUIZ, SEILY (DISEÑADOR) / ROGERO, ANNA (DIRECTOR) / FRANCISCO ALCANTARA, EMMANUEL (EDITOR LITERARIO)",IMPRESO,ENERO-JUNIO,2019
978-9945-503-58-6,EDITORA NACIONAL,LAS PUERTAS DEL MISTERIO,"ARIDJIS, HOMERO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-503-59-3,EDITORA NACIONAL,CONTRA VIENTO Y MAREA,"ALONSO, MANUEL (AUTOR) / HOSTO, EUGENIO MARIA (AUTOR) / ALEJANDRO, RIVERAS Y TAPIA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0487-4,"LOPEZ VALERIO, ARTURO YVAN",EMPRENDE,"LOPEZ VALERIO, ARTURO YVAN (AUTOR)",DIGITAL,ENERO-JUNIO,2019
978-9945-8-0488-1,"REYNOSO, ANTONIO",CONTIGO MARIPOSA,"REYNOSO, ANTONIO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-614-42-8,EDITORIAL SANTUARIO,ENTRE TU PIEL Y MI ALMA,"BELTRAN ALVAREZ, MIGUEL ANGEL (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-614-44-2,EDITORIAL SANTUARIO,RECORRERTE,"CANTISANO, MARY (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-614-43-5,EDITORIAL SANTUARIO,EN BUSCA DEL TESORO PERDIDO,JULIO CESAR ROJAS (AUTOR),IMPRESO,ENERO-JUNIO,2019
978-9945-9184-0-3,GACETA JUDICIAL,CONSTITUCION DE LA REPUBLICA DOMINICANA,"RUIZ PEREZ, RUTH JOSEFINA (COORDINADOR EDITORIAL) / GUZMAN ARIZA, FABIO J. (DIRECTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-612-19-6,ORGANIZACION DE ESTADOS IBEROAMERICANOS,FACTORES ASOCIADOS A LOS RESULTADOS DE LA EVALUACION DE DESEMPEÑO DOCENTE 2017-2018 EN REPUBLICA DOMINICANA,"MURILLO, JAVIER (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-612-18-9,ORGANIZACION DE ESTADOS IBEROAMERICANOS,EVALUACION DEL DESEMPEÑO DOCENTE 2017 EN REPUBLICA DOMINICANA.,"CABRERA, FRANCISCO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-612-20-2,ORGANIZACION DE ESTADOS IBEROAMERICANOS,"PLANES DE DESARROLLO PROFESIONAL DOCENTE, A PARTIR DE LOS RESULTADOS DEL PROCESO DE LA EDD 2017","MARTIN, ELENA (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-8-0489-8,"GUTIERREZ SANTANA, ELVIO ANTONIO",AMORES EN EL TIEMPO,"GUTIERREZ SANTANA, ELVIO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-597-79-0,AMIGO DEL HOGAR,CONCEPTOS BASICOS DEL DERECHO NOTARIAL DOMINICANO TOMO 1,"RODRIGUEZ MONTERO, PEDRO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-597-80-6,AMIGO DEL HOGAR,CONCEPTOS BASICOS DEL DERECHO NOTARIAL DOMINICANO TOMO 2,"RODRIGUEZ MONTERO, PEDRO (AUTOR)",IMPRESO,ENERO-JUNIO,2019
978-9945-603-57-6,PUCMM (PONTIFICIA UNIVERSIDAD CATOLICA MADRE Y MAESTRA),LA EDUCACION DOMINICANA HOY: CAMBIOS Y DESAFIOS,"RODRIGUEZ, DULCE (AUTOR)",IMPRESO,ENERO-JUNIO,2019
